;;
;;
;;
;;
;;
CLEA 1000;20;7.891.113.529.068 
CLEA 1000;1074;7.891.113.101.042 
CLEA 1000;1236;7.891.113.101.264 
CLEA 1000;1289;7.891.113.618.557 
CLEA 1000;1317;7.891.113.101.370 
CLEA 1000;1709;7.891.113.038.737 
CLEA 1000;2137;7.891.113.102.179 
CLEA 1000;2151;7.891.113.102.117 
CLEA 1000;2194;7.891.113.102.148 
CLEA 1000;2314;7.891.113.034.944 
CLEA 1000;2470;7.891.113.102.407 
CLEA 1000;2500;7.891.113.102.506 
CLEA 1000;2829;7.891.113.371.117 
CLEA 1000;2856;7.891.113.525.763 
CLEA 1000;3048;7.891.113.038.751 
CLEA 1000;3131;7.891.113.103.114 
CLEA 1000;3182;7.891.113.103.824 
CLEA 1000;3227;7.891.113.103.275 
CLEA 1000;3301;7.891.113.103.312 
CLEA 1000;3402;7.891.113.657.525 
CLEA 1000;3526;7.891.113.525.787 
CLEA 1000;3528;7.891.113.103.589 
CLEA 1000;3581;7.891.113.103.510 
CLEA 1000;3583;7.891.113.618.618 
CLEA 1000;3611;7.891.113.103.619 
CLEA 1000;3635;7.891.113.103.350 
CLEA 1000;3794;7.891.113.103.749 
CLEA 1000;4004;7.891.113.021.432 
CLEA 1000;4131;7.891.113.038.799 
CLEA 1000;4156;7.891.113.618.656 
CLEA 1000;4445;7.891.113.525.800 
CLEA 1000;4456;7.891.113.104.463 
CLEA 1000;4514;7.891.113.104.548 
CLEA 1000;5203;7.891.113.603.355 
CLEA 1000;5215;7.891.113.105.255 
CLEA 1000;5363;7.891.113.105.330 
CLEA 1000;5368;7.891.113.038.775 
CLEA 1000;5398;7.891.113.105.385 
CLEA 1000;5556;7.891.113.105.569 
CLEA 1000;5638;7.891.113.105.682 
CLEA 1000;5743;7.891.113.040.365 
CLEA 1000;5767;7.891.113.412.346 
CLEA 1000;5800;7.891.113.105.804 
CLEA 1000;6029;7.891.113.034.982 
CLEA 1000;6085;7.891.113.106.856 
CLEA 1000;6116;7.891.113.371.179 
CLEA 1000;6133;7.891.113.106.139 
CLEA 1000;6313;7.891.113.106.337 
CLEA 1000;6399;7.891.113.106.399 
CLEA 1000;6614;7.891.113.618.694 
CLEA 1000;7030;7.891.113.107.006 
CLEA 1000;7136;7.891.113.447.249 
CLEA 1000;7148;7.891.113.035.002 
CLEA 1000;7311;7.891.113.371.193 
CLEA 1000;7382;7.891.113.107.327 
CLEA 1000;7529;7.891.113.525.848 
CLEA 1000;7625;7.891.113.107.655 
CLEA 1000;7650;7.891.113.107.600 
;;
;;
;;
;;
;;
;;
CLEA 1000;7684;7.891.113.107.648 
CLEA 1000;8001;7.891.113.108.010 
CLEA 1000;8176;7.891.113.108.164 
CLEA 1000;8473;7.891.113.108.430 
CLEA 1000;8797;7.891.113.038.713 
CLEA 1000;8990;7.891.113.108.904 
CLEA 1000;9989;
